Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ENGR-689-30H,0,0,0,0,25,3.960,0,0,0,0,25,SEARS N
DEPARTMENT TOTAL:,0,0,0,0,25,3.960,0,0,0,0,25,
COLLEGE TOTAL:,0,0,0,0,25,3.960,0,0,0,0,25,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
IMED-800-310,2,19,0,0,21,3.100,22,0,0,0,43,CLEWING J
IMED-800-31D,0,10,0,0,10,3.000,3,0,0,0,13,CLEWING J
IMED-800-31H,2,9,0,0,11,3.181,2,0,0,0,13,CLEWING J
IMED-800-31T,1,7,0,0,8,3.125,6,0,0,0,14,CLEWING J
IMED-800-32D,5,7,0,0,12,3.416,0,0,0,0,12,CLEWING J
IMED-800-32H,6,5,0,0,11,3.545,0,0,0,0,11,CLEWING J
MEID-608-300,14,81,2,0,97,3.103,0,0,0,0,97,WINZER-SERHAN U
MEID-608-30H,4,21,0,0,25,3.160,0,0,0,0,25,TSAI R
MEID-616-300,15,80,0,2,97,3.092,0,0,0,0,97,HEIN T
MEID-616-30H,4,21,0,0,25,3.160,0,0,0,0,25,TONG C
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-617-300,14,80,3,0,97,3.082,0,0,0,0,97,CANNON C
MEID-617-30H,4,20,0,0,24,3.166,1,0,0,0,25,ZAWIEJA D
MEID-618-31B,14,81,0,0,95,3.147,1,0,0,0,96,MAXWELL S
MEID-618-31H,6,19,0,0,25,3.240,0,0,0,0,25,CRISCIONE J
MEID-620-30B,15,81,0,0,96,3.156,1,0,0,0,97,FLOREZ ARANGO J
MEID-620-30H,4,21,0,0,25,3.160,0,0,0,0,25,FLOREZ ARANGO J
MFCM-800-30B,10,10,0,0,20,3.500,23,0,0,0,43,VIA R
MFCM-800-31D,0,6,0,0,6,3.000,0,0,0,0,6,VIA R
MFCM-800-31H,0,5,0,0,5,3.000,0,0,0,2,7,VIA R
MFCM-800-31T,1,4,0,0,5,3.200,0,0,0,0,5,VIA R
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MFCM-800-33H,2,2,0,1,5,2.800,0,0,0,0,5,VIA R
MPED-800-30B,6,14,0,0,20,3.293,23,0,0,0,43,PARR J
MPED-800-31D,2,3,0,0,5,3.400,2,0,0,0,7,PARR J
MPSY-800-31D,0,6,0,0,6,3.000,0,0,0,0,6,ANTUNES P
MPSY-800-32D,0,6,0,0,6,3.000,0,0,0,0,6,ANTUNES P
MPSY-800-32H,3,2,0,0,5,3.600,0,0,0,2,7,ANTUNES P
OBGY-800-30B,4,17,0,0,21,3.196,22,0,0,0,43,HARMS K
OBGY-800-31D,2,5,0,0,7,3.285,0,0,0,0,7,BROWNING A
OBGY-800-31H,1,4,0,0,5,3.200,1,0,0,0,6,BROWNING A
SURG-800-30B,11,11,0,0,22,3.512,21,0,0,0,43,LITTLE D
SURG-800-31D,3,7,0,0,10,3.300,0,0,0,0,10,LITTLE D
SURG-800-31H,3,4,0,0,7,3.428,3,0,0,0,10,LITTLE D
SURG-800-31T,1,5,0,0,6,3.166,1,0,0,0,7,LITTLE D
SURG-800-32D,5,6,0,0,11,3.454,0,0,0,0,11,LITTLE D
SURG-800-32H,5,4,0,0,9,3.555,0,0,0,0,9,LITTLE D
SURG-800-32R,1,6,0,0,7,3.142,0,0,0,0,7,LITTLE D
SURG-800-32T,0,5,0,0,5,3.000,0,0,0,0,5,LITTLE D
