Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ANES-805-30T,0,6,0,0,6,3.000,0,0,0,0,6,BRAUER M
DEPARTMENT TOTAL:,0,6,0,0,6,3.000,0,0,0,0,6,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-608-300,24,134,0,1,159,3.132,0,0,0,0,159,ALLEN G
MEID-609-300,24,132,0,2,158,3.113,0,0,0,0,158,WELLS G
MEID-616-300,24,133,0,0,157,3.152,1,0,0,0,158,WILSON E
MEID-617-300,23,134,0,1,158,3.126,0,0,0,0,158,PETERSON T
MEID-618-300,24,134,0,0,158,3.151,0,0,0,0,158,MAXWELL S
MFCM-800-30B,3,18,0,0,21,3.142,0,0,0,0,21,VIA R
MFCM-800-31D,1,4,0,0,5,3.200,1,0,0,0,6,VIA R
MFCM-800-31H,2,4,0,0,6,3.333,1,0,0,0,7,VIA R
MFCM-800-31T,0,5,0,0,5,3.000,2,0,0,0,7,VIA R
MFCM-800-32D,0,5,0,0,5,3.000,1,0,0,0,6,VIA R
MFCM-800-32H,0,5,0,0,5,3.000,1,0,0,0,6,VIA R
MFCM-800-32T,0,7,0,0,7,3.000,1,0,0,0,8,VIA R
MFCM-800-33R,3,2,0,0,5,3.600,0,0,0,0,5,VIA R
MFCM-800-33T,1,5,0,0,6,3.166,0,0,0,0,6,VIA R
MFCM-800-34D,1,6,0,0,7,3.142,0,0,0,0,7,VIA R
MFCM-800-34T,0,8,0,0,8,3.000,0,0,0,0,8,VIA R
IMED-800-31D,0,9,0,2,11,2.454,2,0,0,0,13,PIERATT W
IMED-800-31H,0,8,0,2,10,2.400,0,0,0,0,10,PIERATT W
IMED-800-31R,0,7,0,0,7,3.000,0,0,0,0,7,PIERATT W
IMED-800-31T,0,13,0,1,14,2.785,0,0,0,0,14,PIERATT W
IMED-800-32D,6,6,0,0,12,3.500,0,0,0,0,12,PIERATT W
IMED-800-32H,3,4,0,0,7,3.428,0,0,0,0,7,PIERATT W
IMED-800-32R,0,8,0,0,8,3.000,0,0,0,0,8,PIERATT W
IMED-800-32T,2,11,0,0,13,3.153,1,0,0,0,14,PIERATT W
OBGY-800-30B,4,17,0,0,21,3.190,0,0,0,0,21,BROWNING A
OBGY-800-31D,3,2,0,1,6,3.000,1,0,0,0,7,BROWNING A
OBGY-800-31T,3,5,0,0,8,3.375,0,0,0,0,8,BROWNING A
OBGY-800-32D,1,5,0,0,6,3.166,0,0,0,0,6,BROWNING A
OBGY-800-32T,3,4,0,0,7,3.428,1,0,0,0,8,BROWNING A
OBGY-800-33D,2,3,0,0,5,3.400,1,0,0,0,6,BROWNING A
OBGY-800-33T,5,2,0,0,7,3.714,0,0,0,0,7,BROWNING A
OBGY-800-34D,3,3,0,0,6,3.500,0,0,0,0,6,BROWNING A
OBGY-800-34R,2,3,0,0,5,3.400,0,0,0,0,5,BROWNING A
OBGY-800-34T,4,4,0,0,8,3.500,0,0,0,0,8,BROWNING A
MPED-800-30B,4,17,0,0,21,3.190,0,0,0,0,21,PARR J
MPED-800-31T,1,5,0,0,6,3.166,2,0,0,0,8,PARR J
MPED-800-32D,0,7,0,0,7,3.000,0,0,0,0,7,PARR J
MPED-800-32T,2,6,0,0,8,3.250,0,0,0,0,8,PARR J
MPED-800-33D,1,5,0,0,6,3.166,0,0,0,0,6,PARR J
MPED-800-33R,0,5,0,0,5,3.000,0,0,0,0,5,PARR J
MPED-800-33T,2,5,0,0,7,3.285,1,0,0,0,8,PARR J
MPED-800-34D,2,4,0,0,6,3.333,0,0,0,0,6,PARR J
MPED-800-34T,3,4,0,0,7,3.428,0,0,0,0,7,PARR J
MPSY-800-30B,0,22,0,0,22,3.000,0,0,0,0,22,ANTUNES P
MPSY-800-31D,0,6,0,0,6,3.000,0,0,0,0,6,ANTUNES P
MPSY-800-31H,1,5,0,0,6,3.166,0,0,0,0,6,ANTUNES P
MPSY-800-31T,0,7,0,0,7,3.000,1,0,0,0,8,ANTUNES P
MPSY-800-32D,0,5,0,0,5,3.000,1,0,0,0,6,ANTUNES P
MPSY-800-32T,1,6,0,0,7,3.142,0,0,0,0,7,ANTUNES P
MPSY-800-33D,1,5,0,0,6,3.166,0,0,0,0,6,ANTUNES P
MPSY-800-33T,0,7,0,0,7,3.000,1,0,0,0,8,ANTUNES P
MPSY-800-34D,2,3,0,0,5,3.400,0,0,0,0,5,ANTUNES P
MPSY-800-34R,0,5,0,0,5,3.000,0,0,0,0,5,ANTUNES P
MPSY-800-34T,2,4,0,0,6,3.333,0,0,0,0,6,ANTUNES P
MRAD-800-31D,21,6,0,0,27,3.777,0,0,0,0,27,PHILIP J
MRAD-800-31R,14,27,0,0,41,3.341,0,0,0,0,41,PHILIP J
DEPARTMENT TOTAL:,35,33,0,0,68,3.514,0,0,0,0,68,
SURG-800-30B,5,29,0,0,34,3.147,0,0,0,0,34,LITTLE D
SURG-800-31D,0,8,0,1,9,2.666,3,0,0,0,12,LITTLE D
SURG-800-31H,1,10,0,0,11,3.090,0,0,0,0,11,LITTLE D
SURG-800-31R,0,7,0,0,7,3.000,0,0,0,0,7,LITTLE D
SURG-800-31T,2,13,0,0,15,3.133,0,0,0,0,15,LITTLE D
SURG-800-32D,7,6,0,0,13,3.538,0,0,0,0,13,LITTLE D
SURG-800-32H,4,6,0,0,10,3.400,0,0,0,0,10,LITTLE D
SURG-800-32R,1,6,0,0,7,3.142,0,0,0,0,7,LITTLE D
SURG-800-32T,2,11,0,0,13,3.153,0,0,0,0,13,LITTLE D
