Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
LAW-7890-601   0,0,0   6,,0,0,,0   0,,0,0,0,0,0,6,3.330,0,0,0,6
MCCOY J 0.00%,0.00%,0.00% 100.00,,0.00%,0.00%,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00%,0.00%,0.00% 100.00,,0.00%,0.00%,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-601   1,4,0   0,,0,0,,0   0,,0,0,0,0,0,5,4.002,0,0,0,5
ALTON S 20.00% 80.00%,,0.00% 0.00%,,0.00%,0.00%,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-602   0,2,0   2,,0,0,,0   1,,0,0,0,0,0,5,3.332,0,0,0,5
MORRISS A 0.00% 40.00%,,0.00% 40.00%,,0.00%,0.00%,,0.00% 20.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-603   0,1,1   3,,1,0,,0   0,,0,0,0,0,0,6,3.443,0,0,0,6
BUTLER H 0.00% 16.67% 16.67% 50.00% 16.67%,,,,,0.00%,,0.00% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7900-606   1,1,1   2,,3,2,,1   0,,0,0,0,0,0,11,3.182,0,0,0,11
HENNING W 9.09%,9.09%,9.09% 18.18% 27.27% 18.18%,,,,,9.09% 0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
6.06%,24.24%,6.06%,39.39%,12.12%,6.06%,3.03%,3.03%,0.00%,0.00%,0.00%,0.00%,0.00%,
3.37
6.06%,24.24%,6.06%,39.39%,12.12%,6.06%,3.03%,3.03%,0.00%,0.00%,0.00%,0.00%,0.00%,
3.37
