Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
ITDE-689-600,0,0,0,0,25,4.000,0,0,0,9,34,SEARS N
ITDE-689-601,0,0,0,0,25,4.000,0,0,0,0,25,ROBBINS A
DEPARTMENT TOTAL:,0,0,0,0,50,4.000,0,0,0,9,59,
COLLEGE TOTAL:,0,0,0,0,50,4.000,0,0,0,9,59,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
IMED-800-35D,2,7,0,0,9,3.222,1,0,0,0,10,PIERATT W
IMED-800-35H,2,8,0,0,10,3.200,0,0,0,0,10,PIERATT W
IMED-800-35T,2,4,0,0,6,3.333,1,0,0,0,7,PIERATT W
IMED-800-36D,3,7,0,0,10,3.300,0,0,0,0,10,PIERATT W
IMED-800-36H,2,9,0,0,11,3.181,0,0,0,0,11,PIERATT W
MEID-605-300,21,120,0,2,143,3.104,0,0,0,0,143,CHICO D
MEID-605-301,2,31,0,1,34,2.970,0,0,0,0,34,PETERSON T
MEID-606-300,21,122,0,0,143,3.146,0,0,0,0,143,MAXWELL S
MEID-606-302,5,29,0,0,34,3.147,0,0,0,0,34,MAXWELL S
MEID-607-300,21,122,0,0,143,3.146,0,0,0,0,143,HUBBARD J
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-607-302,5,28,0,1,34,3.058,0,0,0,0,34,HUBBARD J
MEID-619-30B,21,122,0,0,143,3.146,0,0,0,0,143,WATSON P
MEID-619-30H,5,29,0,0,34,3.147,0,0,0,0,34,SIMPSON E
MEID-701-30B,1,37,0,0,38,3.026,0,0,0,0,38,CANNADAY R
MEID-701-30D,6,23,0,0,29,3.206,0,0,0,0,29,CANNADAY R
MEID-701-30H,4,21,0,0,25,3.160,0,0,0,0,25,CANNADAY R
MEID-701-30T,5,24,0,0,29,3.172,0,0,0,0,29,CANNADAY R
MEID-704-303,4,21,0,0,25,3.160,0,0,0,0,25,CHAFFER S
MEID-704-304,4,34,1,0,39,3.051,0,0,0,0,39,BAXTER D
MEID-704-305,8,20,1,0,29,3.206,0,0,0,0,29,CHAFFER S
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-704-306,3,25,1,0,29,3.034,0,0,0,0,29,BAXTER D
MEID-706-300,5,34,0,0,39,3.128,0,0,0,0,39,SCHILLER L
MEID-706-301,5,24,0,0,29,3.172,0,0,0,0,29,SCHILLER L
MEID-706-303,5,24,0,0,29,3.172,0,0,0,0,29,HURDLE J
MEID-706-304,4,21,0,0,25,3.160,0,0,0,0,25,SCHILLER L
MEID-707-301,4,24,0,1,29,3.034,0,0,0,0,29,BRANDT P
MEID-707-302,4,21,0,0,25,3.160,0,0,0,0,25,BRANDT P
MEID-707-303,7,31,0,1,39,3.102,0,0,0,0,39,MEININGER C
MEID-707-304,3,25,0,1,29,3.000,0,0,0,0,29,BRANDT P
MEID-708-301,8,21,0,0,29,3.275,0,0,0,0,29,MEININGER C
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MEID-708-302,4,21,0,0,25,3.160,0,0,0,0,25,WILSON E
MEID-708-303,5,24,0,0,29,3.172,0,0,0,0,29,MEININGER C
MEID-708-304,2,37,0,0,39,3.051,0,0,0,0,39,WILSON E
MEID-712-30B,2,35,0,2,39,2.897,0,0,0,0,39,HOLLAND P
MEID-712-30D,8,21,0,0,29,3.275,0,0,0,0,29,HOLLAND P
MEID-712-30H,4,21,0,0,25,3.160,0,0,0,0,25,HOLLAND P
MEID-712-31T,6,23,0,0,29,3.206,0,0,0,0,29,
MFCM-800-35D,1,4,0,0,5,3.200,1,0,0,0,6,VIA R
MPED-800-36H,0,5,0,0,5,3.000,0,0,0,0,5,PARR J
MPED-800-38D,3,2,0,0,5,3.600,0,0,0,0,5,PARR J
SECTION,H,,P,,F/P,F,,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
MRAD-800-30B,6,,16,,0,0,,22,3.272,0,0,0,0,22,PHILIP J
MRAD-800-30D,21,,21,,0,0,,42,3.500,0,0,0,0,42,PHILIP J
MRAD-800-30H,17,,21,,0,0,,38,3.447,0,0,0,0,38,PHILIP J
MRAD-800-30T,20,,8,,0,0,,28,3.714,0,0,0,0,28,PHILIP J
OBGY-800-36D,3,,3,,0,0,,6,3.500,0,0,0,0,6,BROWNING A
OBGY-800-37D,2,,3,,0,0,,5,3.400,1,0,0,0,6,BROWNING A
OBGY-800-38T,2,,6,,0,0,,8,3.250,0,0,0,0,8,BROWNING A
SURG-800-35D,5,,5,,0,0,,10,3.500,0,0,0,0,10,LITTLE D
SURG-800-35H,3,,6,,0,0,,9,3.333,0,0,0,1,10,LITTLE D
SURG-800-35T,4,,3,,0,0,,7,3.571,0,0,0,1,8,LITTLE D
SURG-800-36D,4,9,0,0,13,3.307,0,0,0,0,13,LITTLE D
SURG-800-36H,7,6,0,0,13,3.538,0,0,0,0,13,LITTLE D
SURG-800-36T,4,4,0,0,8,3.500,1,0,0,0,9,LITTLE D
DEPARTMENT TOTAL:,325,1372,3,9,1709,3.170,5,0,0,2,1716,
COLLEGE TOTAL:,325,1372,3,9,1709,3.170,5,0,0,2,1716,
