Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
DDDS-6510-300,62,15,19,2,7,0,0,105,3.585,0,0,0,0,105,GROPPE J
DDDS-6540-300,14,21,29,14,21,4,2,105,2.833,0,0,0,0,105,MCDONALD S
DDDS-6543-300,8,21,52,15,8,1,0,105,3.009,0,0,0,0,105,MCDONALD S
DDDS-6600-300,23,14,31,18,13,4,2,105,2.942,0,0,0,0,105,SVOBODA K
DDDS-6640-300,38,16,31,9,10,0,1,105,3.271,0,0,0,0,105,WANG Q
DDDS-6660-300,33,7,24,20,19,1,1,105,3.023,0,0,0,0,105,BUSCHANG P
DDDS-6690-300,103,2,0,0,0,0,0,105,3.990,0,0,0,0,105,JONES D
DDDS-6730-300,92,12,1,0,0,0,0,105,3.933,0,0,0,0,105,COBB S
DDDS-6740-300,8,4,30,21,19,16,7,105,2.309,0,0,0,0,105,HONEYMAN A
DDDS-7080-300,100,1,2,0,0,0,0,103,3.975,1,0,0,0,104,GANNAWAY M
DDDS-7100-300,40,19,41,3,1,0,0,104,3.451,0,0,0,0,104,MASH L
DDDS-7104-300,25,25,43,9,2,0,0,104,3.298,0,0,0,0,104,MASH L
DDDS-7140-300,85,4,11,3,1,0,0,104,3.812,0,0,0,0,104,HENNESSY B
DDDS-7170-300,38,18,34,10,3,1,0,104,3.355,0,0,0,0,104,LIANG H
DDDS-7290-300,41,11,22,13,14,2,1,104,3.182,0,0,0,0,104,REUBEN J
DDDS-8060-300,14,11,35,14,15,4,6,99,2.712,0,0,0,0,99,SCHWEITZER J
DDDS-8080-300,28,16,49,3,3,0,0,99,3.318,0,0,0,0,99,PRATS L
DDDS-8160-300,54,34,9,0,2,0,0,99,3.696,0,0,0,0,99,GROGAN D
DDDS-8220-300,28,21,30,14,6,0,0,99,3.257,0,0,0,0,99,CRAMER G
DDDS-8240-300,14,18,34,12,18,3,0,99,2.929,0,0,0,0,99,GONZALEZ M
DDDS-8320-300,26,16,34,8,14,1,0,99,3.141,0,0,0,0,99,TAYLOR R
DDDS-8370-300,97,0,2,0,0,0,0,99,3.979,0,0,0,0,99,COBB S
DDDS-8380-300,25,6,25,12,23,8,0,99,2.828,0,0,0,0,99,REUBEN J
DDDS-8400-300,22,16,32,22,7,0,0,99,3.121,0,0,0,0,99,ALLEN S
DDDS-8500-300,11,21,33,13,18,3,0,99,2.909,0,0,0,0,99,GROGAN D
DDDS-8610-300,42,25,22,6,3,1,1,100,3.435,0,0,0,0,100,REGAN D
DDDS-9040-300,88,5,7,0,1,0,2,103,3.810,0,0,0,0,103,TALEGHANI ESFAH M
DDDS-9070-300,47,22,25,4,4,1,0,103,3.485,0,0,0,0,103,TAYLOR R
DDDS-9090-300,28,25,31,11,5,2,0,102,3.254,1,0,0,0,103,MCWHORTER A
DDDS-9110-300,33,14,21,7,18,10,0,103,2.985,0,0,0,0,103,REUBEN J
DDDS-9140-300,103,0,0,0,0,0,0,103,4.000,0,0,0,0,103,COBB S
DDDS-9190-300,46,20,30,3,3,0,0,102,3.504,1,0,0,0,103,PATEL P
DDDS-9200-300,90,10,3,0,0,0,0,103,3.922,0,0,0,0,103,LILLARD M
DEPARTMENT TOTAL:,1506,470,792,266,258,62,23,3377,3.271,3,0,0,0,3380,
COLLEGE TOTAL:,1506,470,792,266,258,62,23,3377,3.271,3,0,0,0,3380,
