Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
DDDS-601-300,49,0,42,0,11,0,0,102,3.372,4,0,0,0,106,SVOBODA K
DDDS-602-300,63,0,38,0,5,0,0,106,3.547,0,0,0,0,106,KESTERKE M
DDDS-605-300,47,0,52,0,7,0,0,106,3.377,0,0,0,0,106,WRIGHT J
DDDS-7080-300,103,0,1,0,0,0,0,104,3.990,0,0,0,0,104,GANNAWAY M
DDDS-7100-300,23,0,67,0,13,0,1,104,3.067,0,0,0,0,104,BENINGER C
DDDS-7104-300,11,0,80,0,11,0,2,104,2.942,0,0,0,0,104,BENINGER C
DDDS-7140-300,80,0,21,0,3,0,0,104,3.740,0,0,0,0,104,HENNESSY B
DDDS-7170-300,71,0,27,0,6,0,0,104,3.625,0,0,0,0,104,LIANG H
DDDS-7290-300,48,0,40,0,11,0,2,101,3.306,3,0,0,0,104,REUBEN J
DDDS-8060-300,19,0,66,0,13,0,4,102,2.941,0,0,0,0,102,SCHWEITZER J
DDDS-8080-300,22,0,60,0,20,0,0,102,3.019,0,0,0,0,102,ROTHMAN STOLER A
DDDS-8220-300,58,0,42,0,2,0,0,102,3.549,0,0,0,0,102,CRAMER G
DDDS-8240-300,47,0,39,0,14,0,0,100,3.330,2,0,0,0,102,GONZALEZ M
DDDS-8280-300,81,0,18,0,3,0,0,102,3.764,0,0,0,0,102,WRIGHT J
DDDS-8370-300,100,0,2,0,0,0,0,102,3.980,0,0,0,0,102,SIMONS P
DDDS-8380-300,41,0,34,0,22,0,5,102,3.039,0,0,0,0,102,REUBEN J
DDDS-8400-300,37,0,57,0,8,0,0,102,3.284,0,0,0,0,102,ALLEN S
DDDS-8500-300,59,0,40,0,3,0,0,102,3.549,0,0,0,0,102,GONZALEZ M
DDDS-8610-300,32,0,42,0,28,0,0,102,3.039,1,0,0,0,103,REGAN D
DDDS-9040-300,63,0,32,0,2,0,2,99,3.555,0,0,0,0,99,TALEGHANI ESFAH M
DDDS-9070-300,47,0,43,0,9,0,0,99,3.383,0,0,0,0,99,TAYLOR R
DDDS-9090-300,29,0,48,0,14,0,1,92,3.130,7,0,0,0,99,MCWHORTER A
DDDS-9110-300,43,0,41,0,13,0,0,97,3.309,2,0,0,0,99,REUBEN J
DDDS-9190-300,83,0,16,0,0,0,0,99,3.838,0,0,0,0,99,PATEL P
DDDS-9200-300,99,0,0,0,0,0,0,99,4.000,0,0,0,0,99,LILLARD M
DDDS-9230-300,28,0,47,0,24,0,0,99,3.040,0,0,0,0,99,GLICKMAN G
DEPARTMENT TOTAL:,1383,0,995,0,242,0,17,2637,3.433,19,0,0,0,2656,
COLLEGE TOTAL:,1383,0,995,0,242,0,17,2637,3.433,19,0,0,0,2656,
EDHP-630-700,5,0,1,0,0,0,0,6,3.833,0,0,0,0,6,ARNOLD S
EDHP-633-700,4,0,1,0,0,0,0,5,3.800,0,0,0,0,5,ARNOLD S
DEPARTMENT TOTAL:,9,0,2,0,0,0,0,11,3.818,0,0,0,0,11,
COLLEGE TOTAL:,9,0,2,0,0,0,0,11,3.818,0,0,0,0,11,
